"","year","state","y"
"1",1997,"Alabama",324158
"2",1998,"Alabama",329134
"3",1999,"Alabama",337270
"4",2000,"Alabama",353614
"5",2001,"Alabama",332693
"6",2002,"Alabama",379343
"7",2003,"Alabama",350345
"8",2004,"Alabama",382367
"9",2005,"Alabama",353156
"10",2006,"Alabama",391093
"11",2007,"Alabama",418512
"12",2008,"Alabama",404157
"13",2009,"Alabama",454456
"14",2010,"Alabama",534779
"15",2011,"Alabama",598514
"16",2012,"Alabama",666712
"17",2013,"Alabama",615407
"18",2014,"Alabama",635323
"19",2015,"Alabama",681149
"20",2016,"Alabama",694881
"21",2017,"Alabama",661366
"22",2018,"Alabama",750188
"23",2019,"Alabama",729402
"24",1997,"Alaska",425393
"25",1998,"Alaska",434871
"26",1999,"Alaska",422816
"27",2000,"Alaska",427288
"28",2001,"Alaska",408960
"29",2002,"Alaska",419131
"30",2003,"Alaska",414234
"31",2004,"Alaska",406319
"32",2005,"Alaska",432972
"33",2006,"Alaska",373850
"34",2007,"Alaska",369967
"35",2008,"Alaska",341888
"36",2009,"Alaska",342261
"37",2010,"Alaska",333312
"38",2011,"Alaska",335458
"39",2012,"Alaska",343110
"40",2013,"Alaska",332298
"41",2014,"Alaska",328945
"42",2015,"Alaska",333602
"43",2016,"Alaska",330552
"44",2017,"Alaska",347725
"45",2018,"Alaska",355132
"46",2019,"Alaska",366476
"47",1997,"Arizona",134706
"48",1998,"Arizona",158355
"49",1999,"Arizona",165076
"50",2000,"Arizona",205235
"51",2001,"Arizona",240812
"52",2002,"Arizona",250734
"53",2003,"Arizona",272921
"54",2004,"Arizona",349622
"55",2005,"Arizona",321584
"56",2006,"Arizona",358069
"57",2007,"Arizona",392954
"58",2008,"Arizona",399188
"59",2009,"Arizona",369739
"60",2010,"Arizona",330914
"61",2011,"Arizona",288802
"62",2012,"Arizona",332068
"63",2013,"Arizona",332073
"64",2014,"Arizona",306715
"65",2015,"Arizona",351263
"66",2016,"Arizona",360576
"67",2017,"Arizona",321451
"68",2018,"Arizona",384753
"69",2019,"Arizona",468482
"70",1997,"Arkansas",260113
"71",1998,"Arkansas",266485
"72",1999,"Arkansas",252853
"73",2000,"Arkansas",251329
"74",2001,"Arkansas",227943
"75",2002,"Arkansas",242325
"76",2003,"Arkansas",246916
"77",2004,"Arkansas",215124
"78",2005,"Arkansas",213609
"79",2006,"Arkansas",233868
"80",2007,"Arkansas",226439
"81",2008,"Arkansas",234901
"82",2009,"Arkansas",244193
"83",2010,"Arkansas",271515
"84",2011,"Arkansas",284076
"85",2012,"Arkansas",296132
"86",2013,"Arkansas",282120
"87",2014,"Arkansas",268444
"88",2015,"Arkansas",291006
"89",2016,"Arkansas",309732
"90",2017,"Arkansas",311609
"91",2018,"Arkansas",360804
"92",2019,"Arkansas",360024
"93",1997,"California",2146211
"94",1998,"California",2309883
"95",1999,"California",2339521
"96",2000,"California",2508797
"97",2001,"California",2464565
"98",2002,"California",2273193
"99",2003,"California",2269405
"100",2004,"California",2406889
"101",2005,"California",2248256
"102",2006,"California",2315721
"103",2007,"California",2395674
"104",2008,"California",2405266
"105",2009,"California",2328504
"106",2010,"California",2273128
"107",2011,"California",2153186
"108",2012,"California",2403494
"109",2013,"California",2415571
"110",2014,"California",2339392
"111",2015,"California",2301217
"112",2016,"California",2172889
"113",2017,"California",2116902
"114",2018,"California",2137920
"115",2019,"California",2154030
"116",1997,"Colorado",314486
"117",1998,"Colorado",330259
"118",1999,"Colorado",333085
"119",2000,"Colorado",367920
"120",2001,"Colorado",463738
"121",2002,"Colorado",459397
"122",2003,"Colorado",436253
"123",2004,"Colorado",440378
"124",2005,"Colorado",470321
"125",2006,"Colorado",450832
"126",2007,"Colorado",504775
"127",2008,"Colorado",504783
"128",2009,"Colorado",523726
"129",2010,"Colorado",501350
"130",2011,"Colorado",466680
"131",2012,"Colorado",443750
"132",2013,"Colorado",467798
"133",2014,"Colorado",478987
"134",2015,"Colorado",466906
"135",2016,"Colorado",441018
"136",2017,"Colorado",438137
"137",2018,"Colorado",485735
"138",2019,"Colorado",520139
"139",1997,"Connecticut",144708
"140",1998,"Connecticut",131497
"141",1999,"Connecticut",152237
"142",2000,"Connecticut",159712
"143",2001,"Connecticut",146278
"144",2002,"Connecticut",177587
"145",2003,"Connecticut",154075
"146",2004,"Connecticut",162642
"147",2005,"Connecticut",168067
"148",2006,"Connecticut",172682
"149",2007,"Connecticut",180181
"150",2008,"Connecticut",166801
"151",2009,"Connecticut",185056
"152",2010,"Connecticut",199426
"153",2011,"Connecticut",230036
"154",2012,"Connecticut",229156
"155",2013,"Connecticut",234475
"156",2014,"Connecticut",235859
"157",2015,"Connecticut",254065
"158",2016,"Connecticut",247958
"159",2017,"Connecticut",239818
"160",2018,"Connecticut",277931
"161",2019,"Connecticut",283408
"162",1997,"Delaware",46511
"163",1998,"Delaware",40809
"164",1999,"Delaware",56013
"165",2000,"Delaware",48387
"166",2001,"Delaware",50113
"167",2002,"Delaware",52216
"168",2003,"Delaware",46177
"169",2004,"Delaware",48057
"170",2005,"Delaware",46904
"171",2006,"Delaware",43190
"172",2007,"Delaware",48155
"173",2008,"Delaware",48162
"174",2009,"Delaware",50148
"175",2010,"Delaware",54825
"176",2011,"Delaware",79715
"177",2012,"Delaware",101676
"178",2013,"Delaware",95978
"179",2014,"Delaware",101379
"180",2015,"Delaware",102693
"181",2016,"Delaware",108562
"182",2017,"Delaware",98966
"183",2018,"Delaware",95516
"184",2019,"Delaware",89214
"185",1997,"District of Columbia",34105
"186",1998,"District of Columbia",30409
"187",1999,"District of Columbia",32281
"188",2000,"District of Columbia",33468
"189",2001,"District of Columbia",29802
"190",2002,"District of Columbia",32898
"191",2003,"District of Columbia",32814
"192",2004,"District of Columbia",32227
"193",2005,"District of Columbia",32085
"194",2006,"District of Columbia",29049
"195",2007,"District of Columbia",32966
"196",2008,"District of Columbia",31880
"197",2009,"District of Columbia",33177
"198",2010,"District of Columbia",33251
"199",2011,"District of Columbia",32862
"200",2012,"District of Columbia",28561
"201",2013,"District of Columbia",32743
"202",2014,"District of Columbia",33848
"203",2015,"District of Columbia",32237
"204",2016,"District of Columbia",28888
"205",2017,"District of Columbia",29457
"206",2018,"District of Columbia",31490
"207",2019,"District of Columbia",30544
"208",1999,"Federal Offshore -- Gulf of Mexico",0
"209",2000,"Federal Offshore -- Gulf of Mexico",0
"210",2001,"Federal Offshore -- Gulf of Mexico",0
"211",2002,"Federal Offshore -- Gulf of Mexico",109277
"212",2003,"Federal Offshore -- Gulf of Mexico",98372
"213",2004,"Federal Offshore -- Gulf of Mexico",90025
"214",2005,"Federal Offshore -- Gulf of Mexico",78139
"215",2006,"Federal Offshore -- Gulf of Mexico",102242
"216",2007,"Federal Offshore -- Gulf of Mexico",115528
"217",2008,"Federal Offshore -- Gulf of Mexico",102389
"218",2009,"Federal Offshore -- Gulf of Mexico",103976
"219",2010,"Federal Offshore -- Gulf of Mexico",108490
"220",2011,"Federal Offshore -- Gulf of Mexico",101217
"221",2012,"Federal Offshore -- Gulf of Mexico",93985
"222",2013,"Federal Offshore -- Gulf of Mexico",95207
"223",2014,"Federal Offshore -- Gulf of Mexico",93814
"224",2015,"Federal Offshore -- Gulf of Mexico",95492
"225",2016,"Federal Offshore -- Gulf of Mexico",95832
"226",2017,"Federal Offshore -- Gulf of Mexico",94379
"227",2018,"Federal Offshore -- Gulf of Mexico",94178
"228",2019,"Federal Offshore -- Gulf of Mexico",94298
"229",1997,"Florida",522116
"230",1998,"Florida",503844
"231",1999,"Florida",559366
"232",2000,"Florida",541847
"233",2001,"Florida",543143
"234",2002,"Florida",689337
"235",2003,"Florida",689986
"236",2004,"Florida",734178
"237",2005,"Florida",778209
"238",2006,"Florida",891611
"239",2007,"Florida",917244
"240",2008,"Florida",942699
"241",2009,"Florida",1055340
"242",2010,"Florida",1158452
"243",2011,"Florida",1217689
"244",2012,"Florida",1328463
"245",2013,"Florida",1225676
"246",2014,"Florida",1214531
"247",2015,"Florida",1345790
"248",2016,"Florida",1382558
"249",2017,"Florida",1387960
"250",2018,"Florida",1477160
"251",2019,"Florida",1545434
"252",1997,"Georgia",371376
"253",1998,"Georgia",368579
"254",1999,"Georgia",337576
"255",2000,"Georgia",413845
"256",2001,"Georgia",351109
"257",2002,"Georgia",383546
"258",2003,"Georgia",379761
"259",2004,"Georgia",394986
"260",2005,"Georgia",412560
"261",2006,"Georgia",420469
"262",2007,"Georgia",441107
"263",2008,"Georgia",425043
"264",2009,"Georgia",462799
"265",2010,"Georgia",530030
"266",2011,"Georgia",522897
"267",2012,"Georgia",615771
"268",2013,"Georgia",625283
"269",2014,"Georgia",652408
"270",2015,"Georgia",694399
"271",2016,"Georgia",706688
"272",2017,"Georgia",689501
"273",2018,"Georgia",738986
"274",2019,"Georgia",753735
"275",1997,"Hawaii",2894
"276",1998,"Hawaii",2654
"277",1999,"Hawaii",3115
"278",2000,"Hawaii",2841
"279",2001,"Hawaii",2818
"280",2002,"Hawaii",2734
"281",2003,"Hawaii",2732
"282",2004,"Hawaii",2774
"283",2005,"Hawaii",2795
"284",2006,"Hawaii",2783
"285",2007,"Hawaii",2850
"286",2008,"Hawaii",2702
"287",2009,"Hawaii",2607
"288",2010,"Hawaii",2627
"289",2011,"Hawaii",2619
"290",2012,"Hawaii",2689
"291",2013,"Hawaii",2855
"292",2014,"Hawaii",2916
"293",2015,"Hawaii",2924
"294",2016,"Hawaii",3040
"295",2017,"Hawaii",3106
"296",2018,"Hawaii",3282
"297",2019,"Hawaii",3277
"298",1997,"Idaho",68669
"299",1998,"Idaho",69277
"300",1999,"Idaho",70672
"301",2000,"Idaho",72697
"302",2001,"Idaho",80279
"303",2002,"Idaho",71481
"304",2003,"Idaho",69868
"305",2004,"Idaho",75335
"306",2005,"Idaho",74540
"307",2006,"Idaho",75709
"308",2007,"Idaho",81937
"309",2008,"Idaho",88515
"310",2009,"Idaho",85197
"311",2010,"Idaho",83326
"312",2011,"Idaho",82544
"313",2012,"Idaho",89004
"314",2013,"Idaho",104783
"315",2014,"Idaho",92046
"316",2015,"Idaho",104730
"317",2016,"Idaho",106306
"318",2017,"Idaho",111334
"319",2018,"Idaho",111700
"320",2019,"Idaho",127638
"321",1997,"Illinois",1077139
"322",1998,"Illinois",957254
"323",1999,"Illinois",1004281
"324",2000,"Illinois",1030604
"325",2001,"Illinois",951616
"326",2002,"Illinois",1049878
"327",2003,"Illinois",998486
"328",2004,"Illinois",953207
"329",2005,"Illinois",969642
"330",2006,"Illinois",893997
"331",2007,"Illinois",965591
"332",2008,"Illinois",1000501
"333",2009,"Illinois",956068
"334",2010,"Illinois",966678
"335",2011,"Illinois",986867
"336",2012,"Illinois",940367
"337",2013,"Illinois",1056826
"338",2014,"Illinois",1093931
"339",2015,"Illinois",993548
"340",2016,"Illinois",1024186
"341",2017,"Illinois",1017772
"342",2018,"Illinois",1108592
"343",2019,"Illinois",1134722
"344",1997,"Indiana",556624
"345",1998,"Indiana",521748
"346",1999,"Indiana",556932
"347",2000,"Indiana",570558
"348",2001,"Indiana",501711
"349",2002,"Indiana",539034
"350",2003,"Indiana",527037
"351",2004,"Indiana",526701
"352",2005,"Indiana",531111
"353",2006,"Indiana",496303
"354",2007,"Indiana",535796
"355",2008,"Indiana",551424
"356",2009,"Indiana",506944
"357",2010,"Indiana",573866
"358",2011,"Indiana",630669
"359",2012,"Indiana",649921
"360",2013,"Indiana",672751
"361",2014,"Indiana",713416
"362",2015,"Indiana",718725
"363",2016,"Indiana",754276
"364",2017,"Indiana",720453
"365",2018,"Indiana",854024
"366",2019,"Indiana",894471
"367",1997,"Iowa",254489
"368",1998,"Iowa",232057
"369",1999,"Iowa",230691
"370",2000,"Iowa",232565
"371",2001,"Iowa",224336
"372",2002,"Iowa",226457
"373",2003,"Iowa",230161
"374",2004,"Iowa",226819
"375",2005,"Iowa",241340
"376",2006,"Iowa",238454
"377",2007,"Iowa",293274
"378",2008,"Iowa",325772
"379",2009,"Iowa",315186
"380",2010,"Iowa",311075
"381",2011,"Iowa",306909
"382",2012,"Iowa",295183
"383",2013,"Iowa",326140
"384",2014,"Iowa",329385
"385",2015,"Iowa",317821
"386",2016,"Iowa",330094
"387",2017,"Iowa",391129
"388",2018,"Iowa",443174
"389",2019,"Iowa",442873
"390",1997,"Kansas",338231
"391",1998,"Kansas",326674
"392",1999,"Kansas",302932
"393",2000,"Kansas",312369
"394",2001,"Kansas",272500
"395",2002,"Kansas",304992
"396",2003,"Kansas",281346
"397",2004,"Kansas",256779
"398",2005,"Kansas",255123
"399",2006,"Kansas",264253
"400",2007,"Kansas",286538
"401",2008,"Kansas",282904
"402",2009,"Kansas",286973
"403",2010,"Kansas",275184
"404",2011,"Kansas",279724
"405",2012,"Kansas",262316
"406",2013,"Kansas",283177
"407",2014,"Kansas",284651
"408",2015,"Kansas",270938
"409",2016,"Kansas",267315
"410",2017,"Kansas",269919
"411",2018,"Kansas",310028
"412",2019,"Kansas",306050
"413",1997,"Kentucky",227931
"414",1998,"Kentucky",205129
"415",1999,"Kentucky",218399
"416",2000,"Kentucky",225168
"417",2001,"Kentucky",208974
"418",2002,"Kentucky",227920
"419",2003,"Kentucky",223226
"420",2004,"Kentucky",225470
"421",2005,"Kentucky",234080
"422",2006,"Kentucky",211049
"423",2007,"Kentucky",229799
"424",2008,"Kentucky",225295
"425",2009,"Kentucky",206833
"426",2010,"Kentucky",232099
"427",2011,"Kentucky",223034
"428",2012,"Kentucky",225924
"429",2013,"Kentucky",229983
"430",2014,"Kentucky",255434
"431",2015,"Kentucky",270958
"432",2016,"Kentucky",271845
"433",2017,"Kentucky",283678
"434",2018,"Kentucky",340125
"435",2019,"Kentucky",336191
"436",1997,"Louisiana",1661061
"437",1998,"Louisiana",1569190
"438",1999,"Louisiana",1495478
"439",2000,"Louisiana",1536725
"440",2001,"Louisiana",1219013
"441",2002,"Louisiana",1341444
"442",2003,"Louisiana",1233505
"443",2004,"Louisiana",1281428
"444",2005,"Louisiana",1254370
"445",2006,"Louisiana",1217871
"446",2007,"Louisiana",1289421
"447",2008,"Louisiana",1238661
"448",2009,"Louisiana",1189744
"449",2010,"Louisiana",1354641
"450",2011,"Louisiana",1420264
"451",2012,"Louisiana",1482343
"452",2013,"Louisiana",1396261
"453",2014,"Louisiana",1423424
"454",2015,"Louisiana",1470354
"455",2016,"Louisiana",1591882
"456",2017,"Louisiana",1593181
"457",2018,"Louisiana",1738734
"458",2019,"Louisiana",1861894
"459",1997,"Maine",6290
"460",1998,"Maine",5716
"461",1999,"Maine",6572
"462",2000,"Maine",44779
"463",2001,"Maine",95733
"464",2002,"Maine",101536
"465",2003,"Maine",70832
"466",2004,"Maine",72565
"467",2005,"Maine",57835
"468",2006,"Maine",49605
"469",2007,"Maine",63183
"470",2008,"Maine",70146
"471",2009,"Maine",70334
"472",2010,"Maine",77575
"473",2011,"Maine",71690
"474",2012,"Maine",68266
"475",2013,"Maine",64091
"476",2014,"Maine",60663
"477",2015,"Maine",52777
"478",2016,"Maine",53128
"479",2017,"Maine",43810
"480",2018,"Maine",46464
"481",2019,"Maine",44484
"482",1997,"Maryland",212017
"483",1998,"Maryland",188552
"484",1999,"Maryland",196350
"485",2000,"Maryland",212133
"486",2001,"Maryland",178376
"487",2002,"Maryland",196276
"488",2003,"Maryland",197024
"489",2004,"Maryland",194725
"490",2005,"Maryland",202509
"491",2006,"Maryland",182294
"492",2007,"Maryland",201053
"493",2008,"Maryland",196067
"494",2009,"Maryland",196510
"495",2010,"Maryland",212020
"496",2011,"Maryland",193986
"497",2012,"Maryland",208946
"498",2013,"Maryland",197356
"499",2014,"Maryland",207103
"500",2015,"Maryland",215005
"501",2016,"Maryland",219024
"502",2017,"Maryland",222881
"503",2018,"Maryland",300637
"504",2019,"Maryland",300876
"505",1997,"Massachusetts",402629
"506",1998,"Massachusetts",358846
"507",1999,"Massachusetts",344790
"508",2000,"Massachusetts",343314
"509",2001,"Massachusetts",349103
"510",2002,"Massachusetts",393194
"511",2003,"Massachusetts",403991
"512",2004,"Massachusetts",372532
"513",2005,"Massachusetts",378068
"514",2006,"Massachusetts",370664
"515",2007,"Massachusetts",408704
"516",2008,"Massachusetts",406719
"517",2009,"Massachusetts",395852
"518",2010,"Massachusetts",432297
"519",2011,"Massachusetts",449194
"520",2012,"Massachusetts",416350
"521",2013,"Massachusetts",421001
"522",2014,"Massachusetts",421671
"523",2015,"Massachusetts",444332
"524",2016,"Massachusetts",427946
"525",2017,"Massachusetts",448996
"526",2018,"Massachusetts",438577
"527",2019,"Massachusetts",433774
"528",1997,"Michigan",994342
"529",1998,"Michigan",876444
"530",1999,"Michigan",951143
"531",2000,"Michigan",963136
"532",2001,"Michigan",906001
"533",2002,"Michigan",966354
"534",2003,"Michigan",924819
"535",2004,"Michigan",916629
"536",2005,"Michigan",913827
"537",2006,"Michigan",803336
"538",2007,"Michigan",798126
"539",2008,"Michigan",779602
"540",2009,"Michigan",735340
"541",2010,"Michigan",746748
"542",2011,"Michigan",776466
"543",2012,"Michigan",790642
"544",2013,"Michigan",814635
"545",2014,"Michigan",861755
"546",2015,"Michigan",844801
"547",2016,"Michigan",890324
"548",2017,"Michigan",870756
"549",2018,"Michigan",965538
"550",2019,"Michigan",1002237
"551",1997,"Minnesota",354092
"552",1998,"Minnesota",330513
"553",1999,"Minnesota",344591
"554",2000,"Minnesota",362025
"555",2001,"Minnesota",340911
"556",2002,"Minnesota",371583
"557",2003,"Minnesota",371261
"558",2004,"Minnesota",359898
"559",2005,"Minnesota",367825
"560",2006,"Minnesota",352570
"561",2007,"Minnesota",388335
"562",2008,"Minnesota",425352
"563",2009,"Minnesota",394136
"564",2010,"Minnesota",422968
"565",2011,"Minnesota",420770
"566",2012,"Minnesota",422263
"567",2013,"Minnesota",467874
"568",2014,"Minnesota",474520
"569",2015,"Minnesota",431315
"570",2016,"Minnesota",449783
"571",2017,"Minnesota",451979
"572",2018,"Minnesota",490169
"573",2019,"Minnesota",509061
"574",1997,"Mississippi",255475
"575",1998,"Mississippi",241342
"576",1999,"Mississippi",306733
"577",2000,"Mississippi",300652
"578",2001,"Mississippi",332589
"579",2002,"Mississippi",343890
"580",2003,"Mississippi",265842
"581",2004,"Mississippi",282051
"582",2005,"Mississippi",301663
"583",2006,"Mississippi",307305
"584",2007,"Mississippi",364067
"585",2008,"Mississippi",355006
"586",2009,"Mississippi",364323
"587",2010,"Mississippi",438733
"588",2011,"Mississippi",433538
"589",2012,"Mississippi",494016
"590",2013,"Mississippi",420594
"591",2014,"Mississippi",427584
"592",2015,"Mississippi",521355
"593",2016,"Mississippi",544464
"594",2017,"Mississippi",526862
"595",2018,"Mississippi",576888
"596",2019,"Mississippi",570154
"597",1997,"Missouri",283294
"598",1998,"Missouri",258652
"599",1999,"Missouri",265798
"600",2000,"Missouri",284763
"601",2001,"Missouri",283793
"602",2002,"Missouri",275629
"603",2003,"Missouri",262529
"604",2004,"Missouri",263945
"605",2005,"Missouri",268040
"606",2006,"Missouri",252697
"607",2007,"Missouri",272536
"608",2008,"Missouri",296058
"609",2009,"Missouri",264867
"610",2010,"Missouri",280181
"611",2011,"Missouri",272583
"612",2012,"Missouri",255875
"613",2013,"Missouri",276967
"614",2014,"Missouri",297087
"615",2015,"Missouri",267673
"616",2016,"Missouri",267170
"617",2017,"Missouri",261993
"618",2018,"Missouri",322805
"619",2019,"Missouri",316378
"620",1997,"Montana",59851
"621",1998,"Montana",59840
"622",1999,"Montana",62129
"623",2000,"Montana",67955
"624",2001,"Montana",65051
"625",2002,"Montana",69532
"626",2003,"Montana",68473
"627",2004,"Montana",66829
"628",2005,"Montana",68355
"629",2006,"Montana",73879
"630",2007,"Montana",73822
"631",2008,"Montana",76422
"632",2009,"Montana",75802
"633",2010,"Montana",72025
"634",2011,"Montana",78217
"635",2012,"Montana",73399
"636",2013,"Montana",79670
