"","year","state","y"
"637",2014,"Montana",78110
"638",2015,"Montana",75042
"639",2016,"Montana",75037
"640",2017,"Montana",80036
"641",2018,"Montana",87034
"642",2019,"Montana",88394
"643",1997,"Nebraska",132221
"644",1998,"Nebraska",130730
"645",1999,"Nebraska",121487
"646",2000,"Nebraska",126962
"647",2001,"Nebraska",121984
"648",2002,"Nebraska",120333
"649",2003,"Nebraska",118922
"650",2004,"Nebraska",115011
"651",2005,"Nebraska",119070
"652",2006,"Nebraska",129885
"653",2007,"Nebraska",150808
"654",2008,"Nebraska",171005
"655",2009,"Nebraska",163474
"656",2010,"Nebraska",168944
"657",2011,"Nebraska",171777
"658",2012,"Nebraska",158757
"659",2013,"Nebraska",173376
"660",2014,"Nebraska",172837
"661",2015,"Nebraska",161189
"662",2016,"Nebraska",163362
"663",2017,"Nebraska",166286
"664",2018,"Nebraska",185949
"665",2019,"Nebraska",185260
"666",1997,"Nevada",132128
"667",1998,"Nevada",148539
"668",1999,"Nevada",154689
"669",2000,"Nevada",189170
"670",2001,"Nevada",176835
"671",2002,"Nevada",176596
"672",2003,"Nevada",185846
"673",2004,"Nevada",214984
"674",2005,"Nevada",227149
"675",2006,"Nevada",249608
"676",2007,"Nevada",254406
"677",2008,"Nevada",264596
"678",2009,"Nevada",275468
"679",2010,"Nevada",259251
"680",2011,"Nevada",249971
"681",2012,"Nevada",273502
"682",2013,"Nevada",272965
"683",2014,"Nevada",253290
"684",2015,"Nevada",300002
"685",2016,"Nevada",304181
"686",2017,"Nevada",293849
"687",2018,"Nevada",299783
"688",2019,"Nevada",302373
"689",1997,"New Hampshire",20848
"690",1998,"New Hampshire",19127
"691",1999,"New Hampshire",20313
"692",2000,"New Hampshire",24950
"693",2001,"New Hampshire",23398
"694",2002,"New Hampshire",24901
"695",2003,"New Hampshire",54147
"696",2004,"New Hampshire",61172
"697",2005,"New Hampshire",70484
"698",2006,"New Hampshire",62549
"699",2007,"New Hampshire",62132
"700",2008,"New Hampshire",71179
"701",2009,"New Hampshire",59950
"702",2010,"New Hampshire",60378
"703",2011,"New Hampshire",69978
"704",2012,"New Hampshire",72032
"705",2013,"New Hampshire",54028
"706",2014,"New Hampshire",57018
"707",2015,"New Hampshire",68682
"708",2016,"New Hampshire",57957
"709",2017,"New Hampshire",52071
"710",2018,"New Hampshire",49888
"711",2019,"New Hampshire",53624
"712",1997,"New Jersey",717011
"713",1998,"New Jersey",679619
"714",1999,"New Jersey",715630
"715",2000,"New Jersey",605275
"716",2001,"New Jersey",564923
"717",2002,"New Jersey",598602
"718",2003,"New Jersey",612890
"719",2004,"New Jersey",620806
"720",2005,"New Jersey",602388
"721",2006,"New Jersey",547206
"722",2007,"New Jersey",618965
"723",2008,"New Jersey",614908
"724",2009,"New Jersey",620790
"725",2010,"New Jersey",654458
"726",2011,"New Jersey",660743
"727",2012,"New Jersey",652060
"728",2013,"New Jersey",682247
"729",2014,"New Jersey",773221
"730",2015,"New Jersey",745789
"731",2016,"New Jersey",762958
"732",2017,"New Jersey",706589
"733",2018,"New Jersey",770284
"734",2019,"New Jersey",766824
"735",1997,"New Mexico",256464
"736",1998,"New Mexico",245823
"737",1999,"New Mexico",236264
"738",2000,"New Mexico",266469
"739",2001,"New Mexico",266283
"740",2002,"New Mexico",235098
"741",2003,"New Mexico",221021
"742",2004,"New Mexico",223575
"743",2005,"New Mexico",220717
"744",2006,"New Mexico",223636
"745",2007,"New Mexico",234236
"746",2008,"New Mexico",246665
"747",2009,"New Mexico",241194
"748",2010,"New Mexico",241137
"749",2011,"New Mexico",246418
"750",2012,"New Mexico",243961
"751",2013,"New Mexico",245502
"752",2014,"New Mexico",247637
"753",2015,"New Mexico",250518
"754",2016,"New Mexico",247761
"755",2017,"New Mexico",239305
"756",2018,"New Mexico",271547
"757",2019,"New Mexico",296753
"758",1997,"New York",1324164
"759",1998,"New York",1232473
"760",1999,"New York",1274162
"761",2000,"New York",1244746
"762",2001,"New York",1171898
"763",2002,"New York",1199632
"764",2003,"New York",1101618
"765",2004,"New York",1098056
"766",2005,"New York",1080215
"767",2006,"New York",1097160
"768",2007,"New York",1187059
"769",2008,"New York",1180356
"770",2009,"New York",1142625
"771",2010,"New York",1198127
"772",2011,"New York",1217324
"773",2012,"New York",1223036
"774",2013,"New York",1273263
"775",2014,"New York",1349203
"776",2015,"New York",1353385
"777",2016,"New York",1296270
"778",2017,"New York",1237311
"779",2018,"New York",1350443
"780",2019,"New York",1312031
"781",1997,"North Carolina",215634
"782",1998,"North Carolina",214092
"783",1999,"North Carolina",217159
"784",2000,"North Carolina",233714
"785",2001,"North Carolina",207108
"786",2002,"North Carolina",235376
"787",2003,"North Carolina",218642
"788",2004,"North Carolina",224796
"789",2005,"North Carolina",229715
"790",2006,"North Carolina",223032
"791",2007,"North Carolina",237354
"792",2008,"North Carolina",243090
"793",2009,"North Carolina",247047
"794",2010,"North Carolina",304148
"795",2011,"North Carolina",307804
"796",2012,"North Carolina",363945
"797",2013,"North Carolina",440175
"798",2014,"North Carolina",452780
"799",2015,"North Carolina",498576
"800",2016,"North Carolina",522002
"801",2017,"North Carolina",502567
"802",2018,"North Carolina",582418
"803",2019,"North Carolina",556490
"804",1997,"North Dakota",56179
"805",1998,"North Dakota",49541
"806",1999,"North Dakota",56418
"807",2000,"North Dakota",56528
"808",2001,"North Dakota",60819
"809",2002,"North Dakota",66726
"810",2003,"North Dakota",60907
"811",2004,"North Dakota",59986
"812",2005,"North Dakota",53050
"813",2006,"North Dakota",53336
"814",2007,"North Dakota",59453
"815",2008,"North Dakota",63097
"816",2009,"North Dakota",54564
"817",2010,"North Dakota",66395
"818",2011,"North Dakota",72463
"819",2012,"North Dakota",72740
"820",2013,"North Dakota",81593
"821",2014,"North Dakota",86881
"822",2015,"North Dakota",97725
"823",2016,"North Dakota",102322
"824",2017,"North Dakota",109440
"825",2018,"North Dakota",126325
"826",2019,"North Dakota",134722
"827",1997,"Ohio",897693
"828",1998,"Ohio",811384
"829",1999,"Ohio",841966
"830",2000,"Ohio",890962
"831",2001,"Ohio",804243
"832",2002,"Ohio",830955
"833",2003,"Ohio",848388
"834",2004,"Ohio",825753
"835",2005,"Ohio",825961
"836",2006,"Ohio",742359
"837",2007,"Ohio",806350
"838",2008,"Ohio",792247
"839",2009,"Ohio",740925
"840",2010,"Ohio",784293
"841",2011,"Ohio",823548
"842",2012,"Ohio",842959
"843",2013,"Ohio",912403
"844",2014,"Ohio",1002345
"845",2015,"Ohio",966492
"846",2016,"Ohio",928492
"847",2017,"Ohio",948324
"848",2018,"Ohio",1162745
"849",2019,"Ohio",1179077
"850",1997,"Oklahoma",567050
"851",1998,"Oklahoma",575855
"852",1999,"Oklahoma",538329
"853",2000,"Oklahoma",538563
"854",2001,"Oklahoma",491458
"855",2002,"Oklahoma",508298
"856",2003,"Oklahoma",540103
"857",2004,"Oklahoma",538576
"858",2005,"Oklahoma",582536
"859",2006,"Oklahoma",624400
"860",2007,"Oklahoma",658379
"861",2008,"Oklahoma",687989
"862",2009,"Oklahoma",659305
"863",2010,"Oklahoma",675727
"864",2011,"Oklahoma",655919
"865",2012,"Oklahoma",691661
"866",2013,"Oklahoma",658569
"867",2014,"Oklahoma",642309
"868",2015,"Oklahoma",679457
"869",2016,"Oklahoma",701776
"870",2017,"Oklahoma",664233
"871",2018,"Oklahoma",807023
"872",2019,"Oklahoma",835139
"873",1997,"Oregon",185069
"874",1998,"Oregon",229403
"875",1999,"Oregon",235009
"876",2000,"Oregon",224888
"877",2001,"Oregon",229665
"878",2002,"Oregon",202164
"879",2003,"Oregon",212556
"880",2004,"Oregon",234997
"881",2005,"Oregon",232562
"882",2006,"Oregon",222608
"883",2007,"Oregon",251927
"884",2008,"Oregon",268484
"885",2009,"Oregon",248864
"886",2010,"Oregon",239325
"887",2011,"Oregon",199419
"888",2012,"Oregon",215830
"889",2013,"Oregon",240418
"890",2014,"Oregon",220090
"891",2015,"Oregon",234634
"892",2016,"Oregon",235912
"893",2017,"Oregon",247206
"894",2018,"Oregon",255713
"895",2019,"Oregon",288976
"896",1997,"Pennsylvania",706230
"897",1998,"Pennsylvania",644017
"898",1999,"Pennsylvania",688740
"899",2000,"Pennsylvania",702847
"900",2001,"Pennsylvania",634794
"901",2002,"Pennsylvania",675583
"902",2003,"Pennsylvania",689992
"903",2004,"Pennsylvania",696175
"904",2005,"Pennsylvania",691591
"905",2006,"Pennsylvania",659754
"906",2007,"Pennsylvania",752401
"907",2008,"Pennsylvania",749884
"908",2009,"Pennsylvania",809707
"909",2010,"Pennsylvania",879365
"910",2011,"Pennsylvania",965742
"911",2012,"Pennsylvania",1037979
"912",2013,"Pennsylvania",1121696
"913",2014,"Pennsylvania",1244371
"914",2015,"Pennsylvania",1255621
"915",2016,"Pennsylvania",1301000
"916",2017,"Pennsylvania",1350245
"917",2018,"Pennsylvania",1460456
"918",2019,"Pennsylvania",1612589
"919",1997,"Rhode Island",117707
"920",1998,"Rhode Island",130751
"921",1999,"Rhode Island",118001
"922",2000,"Rhode Island",88419
"923",2001,"Rhode Island",95607
"924",2002,"Rhode Island",87805
"925",2003,"Rhode Island",78456
"926",2004,"Rhode Island",72609
"927",2005,"Rhode Island",80764
"928",2006,"Rhode Island",77204
"929",2007,"Rhode Island",87972
"930",2008,"Rhode Island",89256
"931",2009,"Rhode Island",92743
"932",2010,"Rhode Island",94110
"933",2011,"Rhode Island",100455
"934",2012,"Rhode Island",95476
"935",2013,"Rhode Island",85537
"936",2014,"Rhode Island",88886
"937",2015,"Rhode Island",93886
"938",2016,"Rhode Island",85977
"939",2017,"Rhode Island",92061
"940",2018,"Rhode Island",101796
"941",2019,"Rhode Island",99301
"942",1997,"South Carolina",153917
"943",1998,"South Carolina",159458
"944",1999,"South Carolina",162926
"945",2000,"South Carolina",160436
"946",2001,"South Carolina",141785
"947",2002,"South Carolina",184803
"948",2003,"South Carolina",146641
"949",2004,"South Carolina",163787
"950",2005,"South Carolina",172032
"951",2006,"South Carolina",174806
"952",2007,"South Carolina",175701
"953",2008,"South Carolina",170077
"954",2009,"South Carolina",190928
"955",2010,"South Carolina",220235
"956",2011,"South Carolina",229497
"957",2012,"South Carolina",244850
"958",2013,"South Carolina",232297
"959",2014,"South Carolina",230525
"960",2015,"South Carolina",275751
"961",2016,"South Carolina",275946
"962",2017,"South Carolina",278768
"963",2018,"South Carolina",330362
"964",2019,"South Carolina",337310
"965",1997,"South Dakota",36115
"966",1998,"South Dakota",33042
"967",1999,"South Dakota",35794
"968",2000,"South Dakota",37939
"969",2001,"South Dakota",37077
"970",2002,"South Dakota",41577
"971",2003,"South Dakota",43881
"972",2004,"South Dakota",41679
"973",2005,"South Dakota",42555
"974",2006,"South Dakota",40739
"975",2007,"South Dakota",53938
"976",2008,"South Dakota",65258
"977",2009,"South Dakota",66185
"978",2010,"South Dakota",72563
"979",2011,"South Dakota",73605
"980",2012,"South Dakota",70238
"981",2013,"South Dakota",81986
"982",2014,"South Dakota",80613
"983",2015,"South Dakota",79099
"984",2016,"South Dakota",80513
"985",2017,"South Dakota",80890
"986",2018,"South Dakota",89464
"987",2019,"South Dakota",91362
"988",1997,"Tennessee",282395
"989",1998,"Tennessee",279070
"990",1999,"Tennessee",278841
"991",2000,"Tennessee",270658
"992",2001,"Tennessee",255990
"993",2002,"Tennessee",255515
"994",2003,"Tennessee",257315
"995",2004,"Tennessee",231133
"996",2005,"Tennessee",230338
"997",2006,"Tennessee",221626
"998",2007,"Tennessee",221118
"999",2008,"Tennessee",229935
"1000",2009,"Tennessee",216945
"1001",2010,"Tennessee",257443
"1002",2011,"Tennessee",264231
"1003",2012,"Tennessee",277127
"1004",2013,"Tennessee",279441
"1005",2014,"Tennessee",305633
"1006",2015,"Tennessee",313379
"1007",2016,"Tennessee",326546
"1008",2017,"Tennessee",321644
"1009",2018,"Tennessee",392161
"1010",2019,"Tennessee",402277
"1011",1997,"Texas",4116722
"1012",1998,"Texas",4205459
"1013",1999,"Texas",4009689
"1014",2000,"Texas",4421777
"1015",2001,"Texas",4252152
"1016",2002,"Texas",4303831
"1017",2003,"Texas",4050632
"1018",2004,"Texas",3908243
"1019",2005,"Texas",3503636
"1020",2006,"Texas",3432236
"1021",2007,"Texas",3516706
"1022",2008,"Texas",3546804
"1023",2009,"Texas",3387341
"1024",2010,"Texas",3574398
"1025",2011,"Texas",3693905
"1026",2012,"Texas",3850331
"1027",2013,"Texas",4021851
"1028",2014,"Texas",3928277
"1029",2015,"Texas",4113608
"1030",2016,"Texas",4020915
"1031",2017,"Texas",3867275
"1032",2018,"Texas",4464219
"1033",2019,"Texas",4619800
"1034",1949,"U.S.",4971152
"1035",1950,"U.S.",5766542
"1036",1951,"U.S.",6810162
"1037",1952,"U.S.",7294320
"1038",1953,"U.S.",7639270
"1039",1954,"U.S.",8048504
"1040",1955,"U.S.",8693657
"1041",1956,"U.S.",9288865
"1042",1957,"U.S.",9846139
"1043",1958,"U.S.",10302608
"1044",1959,"U.S.",11321181
"1045",1960,"U.S.",11966537
"1046",1961,"U.S.",12489268
"1047",1962,"U.S.",13266513
"1048",1963,"U.S.",13970229
"1049",1964,"U.S.",14813808
"1050",1965,"U.S.",15279716
"1051",1966,"U.S.",16452403
"1052",1967,"U.S.",17388360
"1053",1968,"U.S.",18632062
"1054",1969,"U.S.",20056240
"1055",1970,"U.S.",21139386
"1056",1971,"U.S.",21793454
"1057",1972,"U.S.",22101451
"1058",1973,"U.S.",22049363
"1059",1974,"U.S.",21223133
"1060",1975,"U.S.",19537593
"1061",1976,"U.S.",19946496
"1062",1977,"U.S.",19520581
"1063",1978,"U.S.",19627478
"1064",1979,"U.S.",20240761
"1065",1980,"U.S.",19877293
"1066",1981,"U.S.",19403858
"1067",1982,"U.S.",18001055
"1068",1983,"U.S.",16834912
"1069",1984,"U.S.",17950527
"1070",1985,"U.S.",17280943
"1071",1986,"U.S.",16221296
"1072",1987,"U.S.",17210809
"1073",1988,"U.S.",18029585
"1074",1989,"U.S.",19118997
"1075",1990,"U.S.",19173556
"1076",1991,"U.S.",19562067
"1077",1992,"U.S.",20228228
"1078",1993,"U.S.",20789842
"1079",1994,"U.S.",21247098
"1080",1995,"U.S.",22206889
"1081",1996,"U.S.",22609080
"1082",1997,"U.S.",22737342
"1083",1998,"U.S.",22245956
"1084",1999,"U.S.",22405151
"1085",2000,"U.S.",23333121
"1086",2001,"U.S.",22238624
"1087",2002,"U.S.",23027021
"1088",2003,"U.S.",22276502
"1089",2004,"U.S.",22402546
"1090",2005,"U.S.",22014434
"1091",2006,"U.S.",21699071
"1092",2007,"U.S.",23103793
"1093",2008,"U.S.",23277008
"1094",2009,"U.S.",22910078
"1095",2010,"U.S.",24086797
"1096",2011,"U.S.",24477425
"1097",2012,"U.S.",25538487
"1098",2013,"U.S.",26155071
"1099",2014,"U.S.",26593375
"1100",2015,"U.S.",27243858
"1101",2016,"U.S.",27444220
"1102",2017,"U.S.",27139699
"1103",2018,"U.S.",30138930
"1104",2019,"U.S.",31099061
"1105",2020,"U.S.",30482049
"1106",1997,"Utah",165253
"1107",1998,"Utah",169776
"1108",1999,"Utah",159889
"1109",2000,"Utah",164557
"1110",2001,"Utah",159299
"1111",2002,"Utah",163379
"1112",2003,"Utah",154125
"1113",2004,"Utah",155891
"1114",2005,"Utah",160275
"1115",2006,"Utah",187399
"1116",2007,"Utah",219700
"1117",2008,"Utah",224188
"1118",2009,"Utah",214220
"1119",2010,"Utah",219213
"1120",2011,"Utah",222227
"1121",2012,"Utah",223039
"1122",2013,"Utah",247285
"1123",2014,"Utah",241737
"1124",2015,"Utah",232612
"1125",2016,"Utah",240114
"1126",2017,"Utah",221834
"1127",2018,"Utah",244058
"1128",2019,"Utah",264046
"1129",1997,"Vermont",8061
"1130",1998,"Vermont",7735
"1131",1999,"Vermont",8033
"1132",2000,"Vermont",10426
"1133",2001,"Vermont",7919
"1134",2002,"Vermont",8367
"1135",2003,"Vermont",8400
"1136",2004,"Vermont",8685
"1137",2005,"Vermont",8372
"1138",2006,"Vermont",8056
"1139",2007,"Vermont",8867
"1140",2008,"Vermont",8624
"1141",2009,"Vermont",8638
"1142",2010,"Vermont",8443
"1143",2011,"Vermont",8611
"1144",2012,"Vermont",8191
"1145",2013,"Vermont",9602
"1146",2014,"Vermont",10677
"1147",2015,"Vermont",11950
"1148",2016,"Vermont",12094
"1149",2017,"Vermont",11926
"1150",2018,"Vermont",13742
"1151",2019,"Vermont",13866
"1152",1997,"Virginia",248960
"1153",1998,"Virginia",260332
"1154",1999,"Virginia",276793
"1155",2000,"Virginia",268770
"1156",2001,"Virginia",237853
"1157",2002,"Virginia",258202
"1158",2003,"Virginia",262970
"1159",2004,"Virginia",277434
"1160",2005,"Virginia",299746
"1161",2006,"Virginia",274175
"1162",2007,"Virginia",319913
"1163",2008,"Virginia",299364
"1164",2009,"Virginia",319134
"1165",2010,"Virginia",375421
"1166",2011,"Virginia",373444
"1167",2012,"Virginia",410106
"1168",2013,"Virginia",418506
"1169",2014,"Virginia",419705
"1170",2015,"Virginia",500477
"1171",2016,"Virginia",543343
"1172",2017,"Virginia",566676
"1173",2018,"Virginia",634162
"1174",2019,"Virginia",684597
"1175",1997,"Washington",256366
"1176",1998,"Washington",290229
"1177",1999,"Washington",287302
"1178",2000,"Washington",286653
"1179",2001,"Washington",312114
"1180",2002,"Washington",233716
"1181",2003,"Washington",249599
"1182",2004,"Washington",262485
"1183",2005,"Washington",264754
"1184",2006,"Washington",263395
"1185",2007,"Washington",272613
"1186",2008,"Washington",298140
"1187",2009,"Washington",310428
"1188",2010,"Washington",285726
"1189",2011,"Washington",264589
"1190",2012,"Washington",264540
"1191",2013,"Washington",318292
"1192",2014,"Washington",306675
"1193",2015,"Washington",307735
"1194",2016,"Washington",301418
"1195",2017,"Washington",324882
"1196",2018,"Washington",307985
"1197",2019,"Washington",345210
"1198",1997,"West Virginia",159504
"1199",1998,"West Virginia",142860
"1200",1999,"West Virginia",139961
"1201",2000,"West Virginia",147854
"1202",2001,"West Virginia",141090
"1203",2002,"West Virginia",146455
"1204",2003,"West Virginia",126986
"1205",2004,"West Virginia",122267
"1206",2005,"West Virginia",117136
"1207",2006,"West Virginia",113084
"1208",2007,"West Virginia",115974
"1209",2008,"West Virginia",111480
"1210",2009,"West Virginia",109652
"1211",2010,"West Virginia",113179
"1212",2011,"West Virginia",115361
"1213",2012,"West Virginia",129753
"1214",2013,"West Virginia",142082
"1215",2014,"West Virginia",165341
"1216",2015,"West Virginia",174165
"1217",2016,"West Virginia",171825
"1218",2017,"West Virginia",184025
"1219",2018,"West Virginia",202934
"1220",2019,"West Virginia",218282
"1221",1997,"Wisconsin",400651
"1222",1998,"Wisconsin",368022
"1223",1999,"Wisconsin",380560
"1224",2000,"Wisconsin",393601
"1225",2001,"Wisconsin",359784
"1226",2002,"Wisconsin",385310
"1227",2003,"Wisconsin",394711
"1228",2004,"Wisconsin",383316
"1229",2005,"Wisconsin",410250
"1230",2006,"Wisconsin",372462
"1231",2007,"Wisconsin",398370
"1232",2008,"Wisconsin",409377
"1233",2009,"Wisconsin",387066
"1234",2010,"Wisconsin",372898
"1235",2011,"Wisconsin",393734
"1236",2012,"Wisconsin",402656
"1237",2013,"Wisconsin",442544
"1238",2014,"Wisconsin",463186
"1239",2015,"Wisconsin",457743
"1240",2016,"Wisconsin",482233
"1241",2017,"Wisconsin",487732
"1242",2018,"Wisconsin",543025
"1243",2019,"Wisconsin",576650
"1244",1997,"Wyoming",100950
"1245",1998,"Wyoming",109188
"1246",1999,"Wyoming",96726
"1247",2000,"Wyoming",101314
"1248",2001,"Wyoming",98569
"1249",2002,"Wyoming",112872
"1250",2003,"Wyoming",115358
"1251",2004,"Wyoming",107060
"1252",2005,"Wyoming",108314
"1253",2006,"Wyoming",108481
"1254",2007,"Wyoming",140912
"1255",2008,"Wyoming",142705
"1256",2009,"Wyoming",142793
"1257",2010,"Wyoming",150106
"1258",2011,"Wyoming",156455
"1259",2012,"Wyoming",153333
"1260",2013,"Wyoming",149820
"1261",2014,"Wyoming",136796
"1262",2015,"Wyoming",119265
"1263",2016,"Wyoming",123351
"1264",2017,"Wyoming",149405
"1265",2018,"Wyoming",165384
"1266",2019,"Wyoming",154836
